customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST0001,Male,0,No,No,50,Yes,No phone service,DSL,No internet service,Yes,Yes,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),37.46,1903.6,No
CUST0002,Female,0,No,Yes,46,Yes,Yes,Fiber optic,No,Yes,No internet service,Yes,No,No internet service,Two year,No,Bank transfer (automatic),108.06,4938.69,No
CUST0003,Male,0,No,Yes,3,Yes,No phone service,DSL,No,No internet service,No internet service,Yes,No,No internet service,One year,No,Electronic check,90.22,301.97,No
CUST0004,Male,0,No,Yes,6,Yes,Yes,No,No internet service,No internet service,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),106.58,683.53,No
CUST0005,Male,0,Yes,No,34,Yes,No,Fiber optic,Yes,Yes,No,Yes,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),57.11,1925.31,Yes
CUST0006,Female,0,Yes,No,47,Yes,Yes,DSL,No,Yes,Yes,Yes,No internet service,No internet service,Two year,No,Mailed check,49.97,2351.58,No
CUST0007,Male,1,No,No,71,Yes,Yes,Fiber optic,No,No,No,No internet service,Yes,No internet service,One year,Yes,Mailed check,56.82,4050.05,Yes
CUST0008,Male,0,Yes,No,44,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No internet service,No,No internet service,One year,No,Credit card (automatic),19.89,833.11,Yes
CUST0009,Male,1,No,No,71,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,No internet service,Yes,No internet service,Month-to-month,No,Electronic check,91.92,6525.73,No
CUST0010,Female,0,Yes,No,18,Yes,No phone service,DSL,No internet service,Yes,Yes,No internet service,Yes,No,One year,Yes,Bank transfer (automatic),53.68,952.3,No
CUST0011,Male,0,No,No,62,Yes,No phone service,No,No internet service,No,Yes,No internet service,No,No internet service,Two year,Yes,Mailed check,49.96,3134.77,Yes
CUST0012,Male,0,No,Yes,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Two year,No,Electronic check,79.01,2961.04,No
CUST0013,Male,1,Yes,No,66,Yes,No,No,No internet service,No internet service,Yes,No internet service,Yes,No,Two year,No,Bank transfer (automatic),62.5,4145.08,No
CUST0014,Male,1,Yes,Yes,58,Yes,Yes,DSL,Yes,No internet service,No internet service,Yes,No internet service,No,Two year,No,Credit card (automatic),118.05,6862.47,No
CUST0015,Female,0,No,Yes,68,Yes,No,No,No,No internet service,No internet service,No,No internet service,No,Month-to-month,No,Mailed check,54.34,3718.49,No
CUST0016,Male,0,No,No,12,Yes,Yes,DSL,Yes,Yes,No,No internet service,No,No internet service,Two year,Yes,Credit card (automatic),80.62,954.04,No
CUST0017,Female,0,Yes,No,46,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),49.79,2280.79,Yes
